,name,RA,DEC,Equinox
198,NGC194,00:39:17.2,+03:02:14,2000
199,NGC195,00:39:40.0,-09:11:46,2000
200,NGC196,00:39:17.0,+00:54:14,2000
201,NGC197,00:39:23.0,+00:53:14,2000
202,NGC198,00:39:23.2,+02:47:14,2000
203,NGC199,00:39:35.2,+03:07:14,2000
204,NGC200,00:39:35.2,+02:53:14,2000
205,NGC201,00:39:41.0,+00:51:14,2000
206,NGC202,00:39:41.3,+03:31:14,2000
207,NGC203,00:39:41.3,+03:26:14,2000
208,NGC204,00:39:47.2,+03:17:14,2000
209,NGC205,00:40:22.0,+41:41:13,2000
210,NGC206,00:40:33.9,+40:44:13,2000
211,NGC207,00:39:57.4,-15:09:46,2000
212,NGC208,00:40:23.2,+02:44:14,2000
213,NGC209,00:39:09.0,-18:37:46,2000
214,NGC210,00:40:27.5,-13:52:46,2000
215,NGC211,00:40:59.3,+03:26:13,2000
216,NGC212,00:40:08.3,-56:09:46,2000
217,NGC213,00:41:12.7,+16:28:13,2000
218,NGC214,00:41:25.7,+25:30:13,2000
219,NGC215,00:40:56.2,-56:12:46,2000
220,NGC216,00:41:26.6,-21:02:47,2000
221,NGC217,00:41:33.9,-10:01:47,2000
222,NGC218,00:41:45.3,+36:21:13,2000
223,NGC219,00:42:17.0,+00:54:13,2000
224,NGC220,00:40:27.4,-73:23:46,2000
225,NGC221,00:42:46.2,+40:52:12,2000
226,NGC222,00:40:33.3,-73:23:46,2000
227,NGC223,00:42:41.0,+00:51:13,2000
228,NGC224,00:42:46.3,+41:16:12,2000
229,NGC225,00:43:28.4,+61:47:12,2000
230,NGC226,00:42:50.8,+32:34:12,2000
231,NGC227,00:42:40.8,-01:31:47,2000
232,NGC228,00:42:49.6,+23:30:13,2000
233,NGC229,00:43:01.6,+23:29:12,2000
234,NGC230,00:42:26.3,-23:37:47,2000
235,NGC231,00:40:57.2,-73:21:46,2000
236,NGC232,00:42:44.3,-23:33:47,2000
237,NGC233,00:43:26.6,+30:35:12,2000
238,NGC234,00:43:24.5,+14:20:12,2000
239,NGC235,00:42:50.2,-23:32:47,2000
240,NGC235,00:42:50.2,-23:32:47,2000
241,NGC236,00:43:29.2,+02:56:12,2000
242,NGC237,00:43:28.9,-00:07:48,2000
243,NGC238,00:43:27.5,-50:10:47,2000
244,NGC239,00:44:34.5,-03:45:48,2000
245,NGC240,00:45:05.6,+06:08:12,2000
246,NGC241,00:43:25.9,-73:25:47,2000
247,NGC242,00:43:37.8,-73:26:47,2000
248,NGC243,00:45:56.7,+29:56:11,2000
249,NGC244,00:45:45.1,-15:34:48,2000
250,NGC245,00:46:04.7,-01:43:49,2000
251,NGC246,00:47:12.4,+12:25:11,2000
252,NGC247,00:47:02.4,-20:44:49,2000
253,NGC248,00:45:25.0,-73:22:48,2000
254,NGC249,00:45:25.4,-73:04:48,2000
255,NGC250,00:47:17.9,+07:55:11,2000
256,NGC251,00:47:49.3,+19:34:10,2000
257,NGC252,00:48:02.5,+27:37:10,2000
258,NGC253,00:47:31.7,-25:17:49,2000
259,NGC254,00:47:36.8,-31:25:49,2000
260,NGC255,00:47:45.5,-11:28:49,2000
261,NGC256,00:45:54.6,-73:29:48,2000
262,NGC257,00:48:05.9,+08:19:10,2000
263,NGC258,00:48:14.5,+27:38:10,2000
264,NGC259,00:48:04.6,-02:46:50,2000
